PassOutcome,PassLength,AirYards,PassLocation
Complete,Short,11,middle
Complete,Deep,18,right
Complete,Deep,23,right
Complete,Short,3,middle
Complete,Short,8,right
Complete,Short,1,middle
Incomplete Pass,Short,4,left
Complete,Short,14,middle
Complete,Short,6,right
Incomplete Pass,Deep,15,right
Incomplete Pass,Deep,40,right
Complete,Short,-6,right
Complete,Short,7,right
Incomplete Pass,Short,5,right
Incomplete Pass,Deep,19,middle
Complete,Deep,24,middle
Complete,Short,6,left
Complete,Short,0,right
Complete,Short,-1,right
Complete,Short,-2,left
Complete,Short,3,middle
Incomplete Pass,Short,0,left
Complete,Short,12,middle
Complete,Short,-1,right
Complete,Short,7,right
Complete,Short,2,left
Complete,Short,-2,right
Incomplete Pass,Short,7,middle
Incomplete Pass,Deep,36,left
Incomplete Pass,Short,6,right
Complete,Deep,19,left
Complete,Short,4,left
Incomplete Pass,Short,8,left
Complete,Short,-1,left
Incomplete Pass,Short,9,right
Complete,Short,-3,left
Complete,Short,9,middle
Incomplete Pass,Deep,17,middle
Incomplete Pass,Deep,17,right
Incomplete Pass,Short,0,middle
Complete,Short,1,right
Incomplete Pass,Short,5,middle
Complete,Short,10,left
Incomplete Pass,Short,2,left
Incomplete Pass,Short,8,middle
Complete,Deep,16,right
Complete,Short,8,left
Complete,Short,0,right
Complete,Short,-4,right
Incomplete Pass,Short,-2,right
Incomplete Pass,Deep,16,left
Incomplete Pass,Deep,43,middle
Complete,Short,6,right
Incomplete Pass,Short,2,left
Incomplete Pass,Short,15,left
Incomplete Pass,Deep,52,right
Incomplete Pass,Deep,17,middle
Incomplete Pass,Short,7,left
Incomplete Pass,Short,10,left
Complete,Short,-3,left
Incomplete Pass,Short,12,left
Complete,Deep,28,right
Complete,Deep,27,middle
Complete,Short,3,right
Complete,Short,8,middle
Complete,Short,7,middle
Complete,Short,-3,right
Incomplete Pass,Deep,18,right
Complete,Short,5,left
Complete,Short,6,middle
Complete,Short,5,right
Incomplete Pass,Short,6,right
Complete,Short,15,middle
Complete,Short,8,left
Complete,Short,2,right
Complete,Short,2,right
Complete,Short,11,right
Complete,Short,9,middle
Complete,Short,5,middle
Incomplete Pass,Deep,16,middle
Complete,Short,7,middle
Complete,Short,0,right
Complete,Short,4,left
Incomplete Pass,Deep,33,left
Complete,Short,8,middle
Complete,Short,15,left
Complete,Short,10,left
Complete,Short,7,middle
Incomplete Pass,Short,10,middle
Complete,Deep,17,middle
Incomplete Pass,Deep,26,left
Complete,Short,2,left
Complete,Short,7,middle
Complete,Short,4,middle
Complete,Short,4,middle
Incomplete Pass,Short,0,middle
Complete,Short,6,left
Complete,Short,0,middle
Incomplete Pass,Short,2,left
Complete,Short,13,middle
Complete,Short,-2,right
Incomplete Pass,Short,10,middle
Incomplete Pass,Short,13,right
Complete,Short,-3,right
Complete,Deep,26,middle
Complete,Deep,34,right
Incomplete Pass,Short,-5,left
Complete,Short,5,right
Incomplete Pass,Deep,17,right
Complete,Short,11,left
Complete,Short,10,left
Complete,Short,7,left
Incomplete Pass,Deep,16,middle
Complete,Short,-4,left
Complete,Short,7,right
Complete,Short,8,left
Complete,Short,13,right
Complete,Deep,22,left
Complete,Deep,22,right
Complete,Short,2,right
Complete,Deep,19,right
Complete,Short,10,right
Complete,Short,14,right
Incomplete Pass,Short,-50,right
Incomplete Pass,Short,-2,right
Complete,Short,9,right
Incomplete Pass,Deep,34,middle
Complete,Short,-1,right
Complete,Short,-3,left
Incomplete Pass,Short,0,right
Complete,Short,-1,right
Complete,Short,6,middle
Complete,Deep,19,left
Incomplete Pass,Short,0,middle
Complete,Short,11,left
Incomplete Pass,Short,5,right
Complete,Short,8,right
Complete,Deep,19,left
Incomplete Pass,Deep,16,middle
Incomplete Pass,Short,13,left
Complete,Short,4,middle
Complete,Short,1,middle
Complete,Short,4,right
Incomplete Pass,Deep,18,left
Complete,Deep,16,middle
Incomplete Pass,Short,6,right
Incomplete Pass,Short,6,middle
Incomplete Pass,Short,0,left
Complete,Short,-3,right
Complete,Short,-1,right
Incomplete Pass,Short,9,right
Complete,Short,4,left
Complete,Short,7,middle
Incomplete Pass,Deep,22,middle
Complete,Short,7,right
Incomplete Pass,Short,12,right
Complete,Deep,51,right
Complete,Short,10,middle
Incomplete Pass,Short,5,left
Incomplete Pass,Deep,33,right
Complete,Short,-3,right
Complete,Short,8,middle
Complete,Short,5,middle
Complete,Short,7,right
Complete,Short,2,left
Complete,Short,5,left
Complete,Short,6,left
Incomplete Pass,Short,2,left
Complete,Short,-1,right
Incomplete Pass,Short,8,middle
Incomplete Pass,Short,0,middle
Complete,Short,-3,left
Complete,Short,5,left
Complete,Deep,18,left
Complete,Short,3,left
Complete,Deep,21,right
Complete,Short,-4,left
Incomplete Pass,Deep,25,middle
Incomplete Pass,Short,13,right
Complete,Short,2,left
Complete,Deep,17,middle
Complete,Short,7,right
Complete,Deep,25,right
Complete,Short,8,middle
Incomplete Pass,Deep,16,left
Incomplete Pass,Deep,16,right
Complete,Short,0,right
Complete,Deep,51,left
Incomplete Pass,Short,15,left
Incomplete Pass,Short,8,middle
Complete,Short,7,middle
Complete,Short,3,right
Incomplete Pass,Short,7,left
Complete,Deep,26,left
Incomplete Pass,Deep,16,left
Incomplete Pass,Deep,16,middle
Complete,Deep,18,left
Complete,Short,14,middle
Incomplete Pass,Short,14,left
Incomplete Pass,Deep,19,left
Complete,Deep,19,left
Incomplete Pass,Short,12,right
Complete,Short,13,middle
Complete,Short,11,left
Incomplete Pass,Short,8,left
Incomplete Pass,Deep,17,right
Incomplete Pass,Short,7,middle
Incomplete Pass,Short,8,right
Complete,Short,11,right
Complete,Short,-2,right
Complete,Short,-2,right
Complete,Short,4,left
Complete,Short,3,left
Complete,Short,0,left
Complete,Short,13,left
Incomplete Pass,Short,9,middle
Incomplete Pass,Short,-2,right
Complete,Deep,43,right
Complete,Deep,18,middle
Complete,Short,8,right
Incomplete Pass,Deep,22,right
Complete,Short,8,right
Incomplete Pass,Short,15,right
Complete,Short,-1,right
Incomplete Pass,Short,5,right
Incomplete Pass,Deep,31,right
Complete,Short,14,right
Incomplete Pass,Short,11,right
Incomplete Pass,Short,-12,left
Incomplete Pass,Short,12,right
Complete,Short,12,middle
Complete,Short,1,left
Incomplete Pass,Short,14,right
Incomplete Pass,Short,5,middle
Complete,Short,1,right
Complete,Short,9,middle
Complete,Short,15,right
Complete,Short,6,left
Incomplete Pass,Short,5,left
Complete,Short,5,middle
Incomplete Pass,Short,7,right
Complete,Deep,47,right
Complete,Short,0,right
Complete,Short,-8,right
Incomplete Pass,Short,4,left
Incomplete Pass,Short,2,middle
Incomplete Pass,Short,5,right
Incomplete Pass,Short,14,right
Complete,Short,-2,right
Complete,Short,0,right
Complete,Short,3,left
Incomplete Pass,Deep,20,middle
Complete,Short,1,middle
Complete,Short,1,right
Incomplete Pass,Short,3,right
Complete,Short,6,right
Complete,Short,1,middle
Complete,Short,5,middle
Complete,Short,7,left
Complete,Short,6,right
Complete,Short,-4,right
Complete,Short,-5,right
Incomplete Pass,Short,11,right
Complete,Short,-2,left
Complete,Short,11,left
Complete,Deep,19,right
Incomplete Pass,Short,9,right
Complete,Deep,29,right
Complete,Short,8,right
Incomplete Pass,Short,2,left
Incomplete Pass,Deep,31,left
Complete,Short,4,middle
Complete,Deep,19,left
Incomplete Pass,Short,-6,left
Incomplete Pass,Short,15,middle
Complete,Deep,44,right
Complete,Deep,35,left
Incomplete Pass,Short,4,right
Complete,Short,-1,middle
Complete,Short,15,middle
Complete,Short,10,left
Incomplete Pass,Short,5,right
Incomplete Pass,Deep,31,right
Incomplete Pass,Deep,17,left
Complete,Short,4,right
Incomplete Pass,Deep,20,middle
Complete,Short,14,left
Incomplete Pass,Deep,34,left
Complete,Short,6,middle
Complete,Deep,84,right
Complete,Short,3,left
Complete,Short,0,left
Complete,Short,13,right
Incomplete Pass,Short,-5,right
Complete,Deep,42,right
Complete,Short,-3,left
Complete,Short,2,middle
Incomplete Pass,Deep,21,middle
Incomplete Pass,Deep,16,right
Complete,Short,6,right
Complete,Deep,48,left
Complete,Deep,20,left
Complete,Short,3,left
Complete,Short,13,middle
Complete,Deep,22,left
Complete,Short,8,left
